,TrackID,Genre,SongNumber,TrackID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
0,TRAAAEF128F4273421,Rock,2531,TRAAAEF128F4273421,287650,b'Friend Or Foe',b'AR7G5I41187FB4CE6C',,b'London England',,b'Adam Ant',0.0,233.40363,0,0.751,119.293,4,0.0,b'Something Girls',1982
1,TRAAARJ128F9320760,Rock,2532,TRAAARJ128F9320760,358182,b'Pink World',b'AR8ZCNI1187B9A069B',,b'',,b'Planet P Project',0.0,269.81832,4,0.717,86.643,4,0.487,b'Pink World',1984
2,TRAABLR128F423B7E3,Rock,2669,TRAABLR128F423B7E3,135122,b'Outskirts',b'ARD842G1187B997376',43.64856,b'Toronto Ontario Canada',-79.38533,b'Blue Rodeo',0.0,491.12771,7,1.0,119.826,4,0.756,b'Floating',1987
3,TRAABVM128F92CA9DC,Rock,2668,TRAABVM128F92CA9DC,372309,b'Gold',b'ARYKCQI1187FB3B18F',,b'',,b'Tesla',0.0,290.29832,7,0.725,150.062,4,0.931,b'Caught In A Dream',2004
4,TRAACER128F4290F96,Metal,2443,TRAACER128F4290F96,223365,b'Miss Machine',b'ARMAC4T1187FB3FA4C',40.82624,b'Morris Plains NJ',-74.47995,b'The Dillinger Escape Plan',0.0,207.77751,7,0.381,166.862,4,0.0,b'Setting Fire to Sleeping Giants',2004
5,TRAACPE128F421C1B9,RnB,2437,TRAACPE128F421C1B9,228326,b'Occasional Rain',b'ARB29H41187B98F0EF',41.88415,b'Chicago',-87.63241,b'Terry Callier',0.0,342.56934,6,0.381,110.189,3,0.353,b'Do You Finally Need A Friend',1972
6,TRAACTB12903CAAF15,Country,2449,TRAACTB12903CAAF15,663761,b'20 Of Her Best',b'AR0RCMP1187FB3F427',30.08615,b'Beaumont TX',-94.10158,b'Billie Jo Spears',0.0,133.32853,4,0.384,160.839,1,0.0,b'It Makes No Difference Now',1992
7,TRAADLH12903CA70EE,Rock,2699,TRAADLH12903CA70EE,706005,b'A Match & Some Gasoline',b'ARWYVP51187B98C516',42.33168,b'Detroit MI',-83.04792,b'The Suicide Machines',0.0,95.68608,2,0.421,115.887,4,0.744,b'Burning In The Aftermath',2003
8,TRAADMH128F9343E59,Blues,2685,TRAADMH128F9343E59,557761,b'A Bothered Mind',b'AR7TTS41187B9B42D3',34.36401,b'Oxford MS',-89.51877,b'R.L. Burnside',0.0,277.78567,2,0.0,89.984,4,0.0,b'Glory Be',2004
9,TRAADNA128F9331246,Blues,2692,TRAADNA128F9331246,417945,b'Greatest Hits',b'ART3O5Z1187B9AB043',32.77815,b'Dallas TX',-96.7954,b'Stevie Ray Vaughan',0.0,248.78975,1,0.754,116.721,4,0.522,b'Crossfire',1992
